Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2019 JIF
IET Image Processing,IET Image Processing,1751-9659,1751-9667,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","2,030",1.995
Journal of Real-Time Image Processing,Journal of Real-Time Image Processing,1861-8200,1861-8219,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","1,053",1.968
International Journal of Bio-Inspired Computation,International Journal of Bio-Inspired Computation,1758-0366,1758-0374,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",948,1.914
Cognitive Systems Research,Cognitive Systems Research,2214-4366,1389-0417,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","1,050",1.902
INTERNATIONAL JOURNAL OF INFORMATION TECHNOLOGY & DECISION MAKING,INTERNATIONAL JOURNAL OF INFORMATION TECHNOLOGY & DECISION MAKING,0219-6220,1793-6845,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","1,248",1.894
IEEE Transactions on Games,IEEE Transactions on Games,2475-1502,2475-1510,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",83,1.886
MINDS AND MACHINES,MINDS AND MACHINES,0924-6495,1572-8641,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",534,1.855
JOURNAL OF INTELLIGENT & FUZZY SYSTEMS,JOURNAL OF INTELLIGENT & FUZZY SYSTEMS,1064-1246,1875-8967,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","7,339",1.851
International Journal of Computational Intelligence Systems,International Journal of Computational Intelligence Systems,1875-6891,1875-6883,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","1,463",1.838
IET Biometrics,IET Biometrics,2047-4938,2047-4946,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",572,1.821
JOURNAL OF INTELLIGENT INFORMATION SYSTEMS,JOURNAL OF INTELLIGENT INFORMATION SYSTEMS,0925-9902,1573-7675,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",967,1.813
Genetic Programming and Evolvable Machines,Genetic Programming and Evolvable Machines,1389-2576,1573-7632,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",378,1.781
ACM Transactions on Autonomous and Adaptive Systems,ACM Transactions on Autonomous and Adaptive Systems,N/A,N/A,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",464,1.775
International Journal on Semantic Web and Information Systems,International Journal on Semantic Web and Information Systems,1552-6283,1552-6291,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",397,1.742
JOURNAL OF CHEMOMETRICS,JOURNAL OF CHEMOMETRICS,0886-9383,1099-128X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","3,563",1.633
ACM Transactions on Interactive Intelligent Systems,ACM Transactions on Interactive Intelligent Systems,2160-6455,2160-6463,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",560,1.63
AI MAGAZINE,AI MAGAZINE,0738-4602,2371-9621,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","1,653",1.627
MACHINE VISION AND APPLICATIONS,MACHINE VISION AND APPLICATIONS,0932-8092,1432-1769,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","2,029",1.605
Journal of Ambient Intelligence and Smart Environments,Journal of Ambient Intelligence and Smart Environments,1876-1364,1876-1372,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",424,1.595
IEEE Transactions on Computational Intelligence and AI in Games,IEEE Transactions on Computational Intelligence and AI in Games,N/A,N/A,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",455,1.588
JOURNAL OF HEURISTICS,JOURNAL OF HEURISTICS,1381-1231,1572-9397,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","1,239",1.577
EXPERT SYSTEMS,EXPERT SYSTEMS,0266-4720,1468-0394,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",785,1.546
Traitement du Signal,Traitement du Signal,0765-0019,1958-5608,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",100,1.541
IET Computer Vision,IET Computer Vision,1751-9632,1751-9640,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",990,1.516
PATTERN ANALYSIS AND APPLICATIONS,PATTERN ANALYSIS AND APPLICATIONS,1433-7541,1433-755X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","1,197",1.512
Journal on Multimodal User Interfaces,Journal on Multimodal User Interfaces,1783-7677,1783-8738,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",345,1.511
Natural Computing,Natural Computing,1567-7818,1572-9796,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",797,1.495
International Journal on Document Analysis and Recognition,International Journal on Document Analysis and Recognition,1433-2833,1433-2825,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",518,1.486
DATA & KNOWLEDGE ENGINEERING,DATA & KNOWLEDGE ENGINEERING,0169-023X,1872-6933,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","1,602",1.476
