Revista,JCR 2004,JCR 2005,JCR 2006,JCR 2007,JCR 2008,JCR 2009,JCR 2010,JCR 2011,JCR 2012,JCR 2013,JCR 2014,JCR 2015,JCR 2016,JCR 2017,JCR 2018,JCR 2019,JCR 2020,JCR 2021,JCR 2022
IEEE Transactions on Neural Networks and Learning Systems,,,,,,,,,93.0,14.0,14.0,12.0,8.0,9.0,5.0,7.0,9.0,9.0,11.0
International Journal of Computational Intelligence Systems,,,,,,,,,,86.0,104.0,110.0,107.0,110.0,116.0,122.0,129.0,135.0,131.0
IEEE Transactions on Affective Computing,,,,,,,,,,3.0,2.0,5.0,4.0,7.0,9.0,13.0,11.0,10.0,22.0
ACM Transactions on Intelligent Systems and Technology,,,,,,,,,,1.0,36.0,31.0,23.0,34.0,50.0,52.0,23.0,16.0,51.0
IEEE Transactions on Cybernetics,,,,,,,,,,100.0,6.0,7.0,7.0,6.0,4.0,6.0,10.0,5.0,6.0
IEEE Transactions on Human-Machine Systems,,,,,,,,,,100.0,47.0,47.0,46.0,35.0,34.0,47.0,61.0,67.0,87.0
Memetic Computing,,,,,,,,,,,64.0,56.0,50.0,55.0,61.0,33.0,30.0,65.0,55.0
IET Biometrics,,,,,,,,,,,62.0,62.0,57.0,61.0,63.0,62.0,59.0,75.0,95.0
Semantic Web,,,,,,,,,,,,61.0,67.0,24.0,25.0,56.0,68.0,74.0,77.0
Frontiers in Neurorobotics,,,,,,,,,,,,52.0,42.0,22.0,23.0,44.0,50.0,59.0,90.0
Journal of Ambient Intelligence and Humanized Computing,,,,,,,,,,,,76.0,71.0,65.0,64.0,61.0,47.0,44.0,46.0
International Journal of Machine Learning and Cybernetics,,,,,,,,,,,,73.0,75.0,57.0,52.0,49.0,44.0,39.0,42.0
Statistical Analysis and Data Mining,,,,,,,,,,,,93.0,94.0,98.0,91.0,97.0,121.0,124.0,118.0
Swarm and Evolutionary Computation,,,,,,,,,,,,10.0,15.0,10.0,8.0,14.0,17.0,11.0,15.0
IET Image Processing,,,,,,,,,,,,,113.0,112.0,89.0,87.0,95.0,107.0,106.0
ACM Transactions on Asian and Low-Resource Language Information Processing,,,,,,,,,,,,,108.0,106.0,105.0,104.0,109.0,119.0,107.0
IEEE Transactions on Cognitive and Developmental Systems,,,,,,,,,,,,,113.0,90.0,86.0,66.0,63.0,75.0,78.0
Egyptian Informatics Journal,,,,,,,,,,,,,,,40.0,32.0,37.0,57.0,43.0
Big Data Research,,,,,,,,,,,,,,,38.0,53.0,57.0,97.0,83.0
IEEE Transactions on Games,,,,,,,,,,,,,,,116.0,90.0,97.0,109.0,110.0
International Journal of Interactive Multimedia and Artificial Intelligence,,,,,,,,,,,,,,,,70.0,87.0,89.0,98.0
ACM Transactions on Interactive Intelligent Systems,,,,,,,,,,,,,,,,58.0,67.0,92.0,70.0
Complex &amp; Intelligent Systems,,,,,,,,,,,,,,,,21.0,28.0,26.0,34.0
PeerJ Computer Science,,,,,,,,,,,,,,,,18.0,82.0,88.0,75.0
Artificial Intelligence and Law,,,,,,,,,,,,,,,,,71.0,60.0,46.0
Evolving Systems,,,,,,,,,,,,,,,,,74.0,66.0,58.0
Journal of Artificial Intelligence and Soft Computing Research,,,,,,,,,,,,,,,,,66.0,41.0,28.0
International Journal of Multimedia Information Retrieval,,,,,,,,,,,,,,,,,34.0,70.0,45.0
Nature Machine Intelligence,,,,,,,,,,,,,,,,,2.0,2.0,2.0
Transactions of the Association for Computational Linguistics,,,,,,,,,,,,,,,,,,18.0,25.0
IEEE Transactions on Intelligent Vehicles,,,,,,,,,,,,,,,,,,48.0,40.0
CAAI Transactions on Intelligence Technology,,,,,,,,,,,,,,,,,,29.0,
IEEE Transactions on Emerging Topics in Computational Intelligence,,,,,,,,,,,,,,,,,,61.0,50.0
Machine Learning: Science and Technology,,,,,,,,,,,,,,,,,,38.0,37.0
Advanced Intelligent Systems,,,,,,,,,,,,,,,,,,43.0,39.0
