Revista,JCR 2004,JCR 2005,JCR 2006,JCR 2007,JCR 2008,JCR 2009,JCR 2010,JCR 2011,JCR 2012,JCR 2013,JCR 2014,JCR 2015,JCR 2016,JCR 2017,JCR 2018,JCR 2019,JCR 2020,JCR 2021,JCR 2022
Neural Networks,44.997,37.693,47.402,50.127,42.378,34.458,36.737,38.603,28.269,26.727,30.108,29.415,62.524,61.15,27.194,29.643,26.786,17.622,6.475
Neural Computation,100.36,96.789,60.634,84.703,84.941,45.239,36.021,26.957,22.65,24.574,27.382,24.597,15.147,13.659,22.355,19.381,13.488,9.986,2.602
International Journal of Computer Vision,131.063,548.172,528.636,135.296,106.488,132.838,114.855,122.975,114.933,64.327,92.659,91.69,167.806,157.65,43.951,45.559,35.395,24.977,17.018
Journal of Intelligent &amp; Robotic Systems,14.545,14.653,18.358,18.67,19.331,18.983,20.682,25.416,24.675,21.994,23.934,24.469,21.513,18.49,16.798,13.218,9.732,7.667,3.416
AI Communications,0.738,0.612,0.469,0.585,0.608,14.523,12.734,10.5,11.816,10.952,6.609,5.268,4.594,5.039,11.521,10.638,3.425,1.853,0.884
Robotics and Autonomous Systems,46.046,44.915,26.852,30.32,34.134,40.974,44.779,35.125,26.27,27.449,36.212,33.066,29.093,30.204,23.362,19.005,15.001,9.98,4.848
Minds and Machines,8.899,17.262,17.996,12.738,21.072,23.736,18.178,9.238,8.466,9.865,7.24,4.122,2.422,6.701,9.564,9.669,9.993,14.641,10.328
Applied Intelligence,21.003,18.828,16.737,18.747,24.054,23.941,21.084,17.182,15.084,,,18.035,20.687,20.358,16.15,18.512,16.02,9.983,6.996
Journal of Mathematical Imaging and Vision,26.289,71.222,65.386,36.506,36.516,25.997,22.992,23.46,43.041,39.517,15.172,15.266,15.949,13.869,9.245,7.425,5.184,3.986,2.675
Neurocomputing,24.635,21.843,14.949,32.808,32.935,24.359,26.155,25.976,26.434,24.418,24.651,0.45,0.548,0.536,0.5,0.44,0.829,0.617,0.617
Journal of Intelligent Information Systems,25.886,30.651,27.604,23.562,24.617,17.129,15.583,14.328,9.495,16.654,18.586,15.01,11.027,10.502,10.835,10.718,9.242,6.206,5.595
Autonomous Robots,81.571,76.799,58.726,44.305,35.076,33.005,48.023,52.522,48.422,54.698,70.29,54.465,24.67,23.725,25.284,24.266,15.677,8.629,3.819
Machine Vision and Applications,24.287,27.758,38.546,30.58,23.246,31.595,28.493,17.313,19.279,21.768,18.94,21.416,19.306,12.959,12.82,8.414,6.789,7.004,3.798
Artificial Intelligence in Medicine,30.524,28.706,33.36,30.963,24.17,26.391,28.946,27.512,25.406,26.316,26.838,21.48,21.968,24.452,23.835,22.202,20.745,16.954,8.911
Neural Computing and Applications,13.928,16.174,21.082,19.844,15.253,13.335,12.957,16.026,16.052,14.414,16.469,21.726,25.058,23.12,21.553,18.556,15.564,12.295,7.665
Knowledge-Based Systems,13.338,11.999,16.355,17.933,21.737,30.648,31.853,37.726,43.486,42.826,44.585,42.689,41.96,42.588,35.498,30.135,24.828,16.457,8.21
