DOI,Título,Autores,Año,Citas,Revista
10.1515/jisys-2017-0083,Precursor Selection for Sol–Gel Synthesis of Titanium Carbide Nanopowders by a New Cubic Fuzzy Multi-Attribute Group Decision-Making Model,"Aliya Fahmi, Saleem Abdullah, Fazli Amin, Asad Ali",2019,48,Journal of Intelligent Systems
10.1515/jisys-2017-0046,Elite Opposition-Based Cognitive Behavior Optimization Algorithm for Global Optimization,"Shaoling Zhang, Yongquan Zhou, Qifang Luo",2019,2,Journal of Intelligent Systems
10.1515/jisys-2017-0055,A Fast Segmentation and Efficient Slice Reconstruction Technique for Head CT Images,"A.A. Haseena Thasneem, M. Mohamed Sathik, R. Mehaboobathunnisa",2019,0,Journal of Intelligent Systems
10.1515/jisys-2012-0009,Automated Test Data Generation Using Cuckoo Search and Tabu Search (CSTS) Algorithm,"Praveen Ranjan Srivastava, Rahul Khandelwal, Shobhit Khandelwal, Sanjay Kumar, Suhas Santebennur Ranganatha",2012,20,Journal of Intelligent Systems
10.1515/jisys-2015-0086,Intuitionistic Fuzzy Similarity Measures and Their Role in Classification,"Leila Baccour, Adel M. Alimi, Robert I. John",2016,7,Journal of Intelligent Systems
10.1515/jisys-2017-0020,Fully Automated Segmentation of Lung Parenchyma Using Break and Repair Strategy,"S. Pramod Kumar, Mrityunjaya V. Latte",2019,8,Journal of Intelligent Systems
10.1515/jisys-2022-0200,An improved Jaya optimization algorithm with ring topology and population size reduction,"Mahamed G. H. Omran, Giovanni Iacca",2022,0,Journal of Intelligent Systems
10.1515/jisys.2011.018,Multimodal Biometric Fusion: Performance under Spoof Attacks,"Zahid Akhtar, Mohammed Rizwan, Sandeep Kale",2011,3,Journal of Intelligent Systems
10.1515/jisys-2017-0266,An Efficient Medical Image Watermarking Technique in E-healthcare Application Using Hybridization of Compression and Cryptography Algorithm,"Puvvadi Aparna, Polurie Venkata Vijay Kishore",2018,24,Journal of Intelligent Systems
10.1515/jisys-2022-0221,Salp swarm and gray wolf optimizer for improving the efficiency of power supply network in radial distribution systems,"Ihsan Salman, Khalid Mohammed Saffer, Hayder H. Safi, Salama A. Mostafa, Bashar Ahmad Khalaf",2023,0,Journal of Intelligent Systems
10.1515/jisys-2014-0089,Location Model and Algorithm of Construction Waste Recycling Centers for Service Reliability,"Qiu Xie, Xing Rong Fan, Qiong He, Yu Yang",2015,1,Journal of Intelligent Systems
