DOI,Título,Autores,Año,Citas,Revista
10.1109/tnnls.2021.3080238,A Fully Natural Gradient Scheme for Improving Inference of the Heterogeneous Multioutput Gaussian Process Model,Juan-Jose Giraldo and Mauricio A. Alvarez,2022,0,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2021.3080122,Consensus of Stochastic Dynamical Multiagent Systems in Directed Networks via PI Protocols,Haibo Gu and Kexin Liu and Jinhu Lu and Zhang Ren,2022,0,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2020.3045146,Parameterized Luenberger-TypeH∞State Estimator for Delayed Static Neural Networks,Yongsik Jin and Wookyong Kwon and Sangmoon Lee,2022,1,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2022.3159538,Self-Supervised Attentive Generative Adversarial Networks for Video Anomaly Detection,Chao Huang and Jie Wen and Yong Xu and Qiuping Jiang and Jian Yang and Yaowei Wang and David Zhang,2022,9,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2021.3124580,Event-Based Motion Segmentation With Spatio-Temporal Graph Cuts,Yi Zhou and Guillermo Gallego and Xiuyuan Lu and Siqi Liu and Shaojie Shen,2021,13,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2022.3144163,MHSA-Net: Multihead Self-Attention Network for Occluded Person Re-Identification,Hongchen Tan and Xiuping Liu and Baocai Yin and Xin Li,2022,10,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2014.2341634,Nonlinear Topological Component Analysis: Application to Age-Invariant Face Recognition,Djamel Bouchaffra,2015,23,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2015.2480709,Cooperative Strategy for Optimal Management of Smart Grids by Wavelet RNNs and Cloud Computing,Christian Napoli and Giuseppe Pappalardo and Giuseppe Marco Tina and Emiliano Tramontana,2016,27,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2017.2761259,Recursive Adaptive Sparse Exponential Functional Link Neural Network for Nonlinear AEC in Impulsive Noise Environment,Sheng Zhang and Wei Xing Zheng,2018,30,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2021.3051012,Scalable Inverse Reinforcement Learning Through Multifidelity Bayesian Optimization,Mahdi Imani and Seyede Fatemeh Ghoreishi,2022,21,IEEE Transactions on Neural Networks and Learning Systems
